hmm_query,assembly_accession,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus
Amidase,2255,20,52,109,324,982
Peptidase_M23,799,15,34,67,197,435
Peptidase_M14,716,9,34,70,135,311
Peptidase_S66C,541,11,20,42,99,259
Peptidase_S66,529,11,20,42,96,252
SLT,417,15,26,44,144,309
Amidase_2,198,11,23,36,83,139
Amidase_3,113,10,15,24,65,90
Peptidase_C92,105,9,17,21,33,64
NLPC_P60,104,9,21,32,63,90
Peptidase_S13,103,6,12,15,27,53
Glucosaminidase,56,9,9,16,34,46
SLT_2,51,4,4,8,24,33
Peptidase_M15_3,50,9,17,26,41,48
Peptidase_M15,50,8,10,14,27,42
VanY,45,5,6,10,26,40
Peptidase_M15_4,44,7,9,12,23,40
Peptidase_M99,41,2,2,2,7,20
Glyco_hydro_25,33,9,12,18,22,26
Phage_lysozyme,31,9,9,13,17,28
Amidase_6,25,6,9,13,15,18
Peptidase_M26_N,24,7,10,12,16,21
Peptidase_M74,24,4,4,5,7,18
Peptidase_M2,18,2,2,3,4,10
CHAP,15,9,11,12,13,14
Peptidase_M15_2,12,6,6,8,11,12
Pepdidase_M14_N,12,6,6,7,9,10
Peptidase_S11,10,4,5,7,8,10
Phage_lysozyme2,9,4,5,6,6,7
Prophage_tail,7,4,4,6,6,7
Glyco_hydro_108,7,6,6,7,7,7
Aspzincin_M35,3,2,2,2,2,2
Lysozyme_like,3,3,3,3,3,3
Prophage_tailD1,2,2,2,2,2,2
