phylum_group,domain,n_genomes_total,pgh_architecture,n_genomes,percentage
Acidobacteriota,Bacteria,1094,LysM+SLT,929,84.918
Acidobacteriota,Bacteria,1094,AMIN+Amidase_3,632,57.77
Acidobacteriota,Bacteria,1094,SH3_4+NLPC_P60,58,5.302
Acidobacteriota,Bacteria,1094,LysM+Peptidase_M23,52,4.753
Acidobacteriota,Bacteria,1094,SH3_3+NLPC_P60,39,3.565
Acidobacteriota,Bacteria,1094,SH3_16+NLPC_P60,32,2.925
Acidobacteriota,Bacteria,1094,LysM+Amidase_3,29,2.651
Acidobacteriota,Bacteria,1094,PG_binding_3+Glyco_hydro_108,28,2.559
Acidobacteriota,Bacteria,1094,PG_binding_1+Amidase_2,21,1.92
Acidobacteriota,Bacteria,1094,LysM+Amidase_2,14,1.28
Acidobacteriota,Bacteria,1094,PG_binding_1+Peptidase_M15,14,1.28
Acidobacteriota,Bacteria,1094,LysM+NLPC_P60,8,0.731
Acidobacteriota,Bacteria,1094,PG_binding_1+VanY,8,0.731
Acidobacteriota,Bacteria,1094,SH3_3+Amidase_2,3,0.274
Acidobacteriota,Bacteria,1094,LysM+Peptidase_M15,1,0.091
Acidobacteriota,Bacteria,1094,PG_binding_1+Peptidase_M23,1,0.091
Acidobacteriota,Bacteria,1094,SH3_6+NLPC_P60,1,0.091
Actinomycetota,Bacteria,4027,LysM+SLT,699,17.358
Actinomycetota,Bacteria,4027,PG_binding_1+Peptidase_M23,308,7.648
Actinomycetota,Bacteria,4027,PG_binding_1+Peptidase_M15,277,6.879
Actinomycetota,Bacteria,4027,PG_binding_1+Amidase_2,231,5.736
Actinomycetota,Bacteria,4027,LysM+NLPC_P60,131,3.253
Actinomycetota,Bacteria,4027,LysM+Peptidase_M23,117,2.905
Actinomycetota,Bacteria,4027,SH3_16+NLPC_P60,51,1.266
Actinomycetota,Bacteria,4027,SH3_3+NLPC_P60,37,0.919
Actinomycetota,Bacteria,4027,PG_binding_1+Glucosaminidase,29,0.72
Actinomycetota,Bacteria,4027,PG_binding_1+VanY,24,0.596
Actinomycetota,Bacteria,4027,SH3_4+NLPC_P60,20,0.497
Actinomycetota,Bacteria,4027,PG_binding_1+Glyco_hydro_25,19,0.472
Actinomycetota,Bacteria,4027,CW_7+LysM+Glyco_hydro_25,16,0.397
Actinomycetota,Bacteria,4027,LysM+Peptidase_M15,11,0.273
Actinomycetota,Bacteria,4027,LysM+Amidase_2,10,0.248
Actinomycetota,Bacteria,4027,Choline_bind_1+Choline_bind_3+Amidase_3,7,0.174
Actinomycetota,Bacteria,4027,SH3_3+Amidase_2,6,0.149
Actinomycetota,Bacteria,4027,PG_binding_3+Glyco_hydro_108,2,0.05
Actinomycetota,Bacteria,4027,SH3_6+NLPC_P60,2,0.05
Actinomycetota,Bacteria,4027,LysM+Phage_lysozyme2,1,0.025
Actinomycetota,Bacteria,4027,SPOR+Amidase_2,1,0.025
Aenigmatarchaeota,Archaea,132,PG_binding_3+Glyco_hydro_108,2,1.515
Aenigmatarchaeota,Archaea,132,LysM+Amidase_2,1,0.758
Aenigmatarchaeota,Archaea,132,LysM+NLPC_P60,1,0.758
Altiarchaeota,Archaea,26,PG_binding_1+Glyco_hydro_25,1,3.846
