LABELS
SEPARATOR COMMA
DATA
GCF_900110535.1,Halobacterium jilantaiense
GCF_024662215.1,Methanoplanus endosymbiosus
GCA_005239435.1,Halorussus sp005239435
GCF_003841485.1,Natrarchaeobius halalkaliphilus
GCA_022869805.1,JALIQP01 sp022869805
GCF_009914725.1,Methanogenium sp009914725
GCF_013415885.1,Halosimplex rubrum
GCF_900112205.1,Halobiforma haloterrestris
GCF_001315945.1,Methanogenium cariaci
GCA_002495055.1,Methanoregula sp002495055
GCA_002503595.1,Methanogaster sp002503595
GCA_013415795.1,UBA148 sp013415795
GCA_015520115.1,Ferroglobus sp015520115
GCA_025059545.1,WYZ-LMO2 sp025059545
GCA_012516785.1,UBA9949 sp012516785
GCF_000230715.2,Natronobacterium gregoryi
GCA_020725315.1,ANME-1-THS sp020725315
GCF_013391085.1,Natronomonas halophila
GCF_000427685.1,Haloplanus natans
GCF_000969885.1,Methanosarcina thermophila
GCA_021129915.1,JAJOKI01 sp021129915
GCA_001512375.1,Methanoculleus thermohydrogenotrophicum
GCA_015661395.1,Bog-38 sp015661395
GCA_013178225.1,JABLXE01 sp013178225
GCF_023008585.1,Natribaculum breve
GCA_012729535.1,Methanospirillum sp012729535
GCA_004212095.1,Ethanoperedens sp004212095
GCA_014237145.1,Methanocomedens sp014237145
GCA_903832665.1,Methanoregula sp903832665
GCA_015522195.1,Geoglobus sp015522195
GCA_017883495.1,UBA288 sp017883495
GCA_018883755.1,Methanocorpusculum faecipullorum
GCF_004116405.1,Halegenticoccus tardaugens
GCF_000455345.1,Halopiger_A goleimassiliensis
GCA_905067555.1,Ethanoperedens ethanivorans_C
GCF_900113245.1,Halopelagius inordinatus
GCA_009783635.1,Methanimicrococcus sp009783635
GCA_018263395.1,JAANXF01 sp018263395
GCA_013374385.1,QBUR01 sp013374385
GCF_001368915.1,Haloferax massiliensis
GCA_000789255.1,Geoglobus acetivorans
GCA_023659785.1,JAGXOR01 sp023659785
GCF_004118325.1,Halorientalis pallida
GCF_003856835.1,Haloplanus aerogenes
GCF_014647475.1,Halocalculus aciditolerans
GCA_016928355.1,Methanolacinia sp016928355
GCA_017656475.1,Archaeoglobus sp017656475
GCF_013391635.1,Natronomonas gomsonensis_A
GCA_022711635.1,MVRE01 sp022711635
GCA_015660965.1,MVRE01 sp015660965
GCF_013342145.1,Haloterrigena gelatinilytica
GCF_017094465.1,Halapricum sp017094465
GCF_023703795.1,Haloplanus sp023703795
GCA_009889625.1,UBA12382 sp009889625
GCF_000025625.1,Natrialba magadii
GCF_001307315.1,Halolamina pelagica_B
GCA_025041175.1,Halocatena sp025041175
GCF_003173335.1,Methanospirillum stamsii
GCA_002839605.1,Methanoregula sp002839605
GCF_001469875.2,Haloferax marisrubri
GCF_008831545.1,Halorussus halophilus
GCA_003601535.1,Methanogaster sp003601535
GCF_900215575.1,Natronoarchaeum philippinense
GCF_001482285.1,Haloferax sp001482285
GCF_009741825.1,Halapricum sp009741825
GCF_000328665.1,Methanomethylovorans hollandica
GCF_017875325.1,Methanofollis sp017875325
GCF_023276375.1,Halocatena sp023276375
GCF_023973145.1,Tc-Br11 sp023973145
GCF_002761295.1,Methanohalophilus portucalensis
GCF_900110865.1,Natrinema salaciae
GCF_024298865.1,Halosegnis sp024298865
GCF_001011115.1,Halanaeroarchaeum sulfurireducens
GCF_023028345.1,Halorientalis marina
GCF_002844335.1,Haloarcula taiwanensis
GCF_000970285.1,Methanosarcina horonobensis
GCF_000063445.1,Methanocella_A arvoryzae
GCA_003663025.1,Archaeoglobus_B sp003663025
GCF_024228315.1,Halomarina sp024228315
GCA_003552325.1,Tc-Br11 sp003552325
GCF_009831575.1,Halovenus carboxidivorans
GCA_003021655.1,QS-4-69-31 sp003021655
GCA_020696975.1,Methanoculleus sp020696975
GCF_003605635.1,Halonotius pteroides
