assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,id
GCA_000008085.1,AAR39210.1,PF01425.24,Amidase,Archaea,Nanoarchaeota,Nanoarchaeia,Nanoarchaeales,Nanoarchaeaceae,Nanoarchaeum,Nanoarchaeum equitans,AAR39210.1@GCA_000008085.1
GCA_000016605.1,ABP94930.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,ABP94930.1@GCA_000016605.1
GCA_000016605.1,ABP95894.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,ABP95894.1@GCA_000016605.1
GCA_000145985.1,ADM27869.1,PF01425.24,Amidase,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Ignisphaeraceae,Ignisphaera,Ignisphaera aggregans,ADM27869.1@GCA_000145985.1
GCA_000200715.1,ABK76881.1,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Cenarchaeum,Cenarchaeum symbiosum,ABK76881.1@GCA_000200715.1
GCA_000204585.1,EGG42592.1,PF01425.24,Amidase,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosarchaeum,Nitrosarchaeum limnae,EGG42592.1@GCA_000204585.1
GCA_000220355.1,EGQ39878.1,PF17676.4,Peptidase_S66C,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ39878.1@GCA_000220355.1
GCA_000220355.1,EGQ39880.1,PF02016.18,Peptidase_S66,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ39880.1@GCA_000220355.1
GCA_000220355.1,EGQ39880.1,PF17676.4,Peptidase_S66C,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ39880.1@GCA_000220355.1
GCA_000220355.1,EGQ39881.1,PF02016.18,Peptidase_S66,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ39881.1@GCA_000220355.1
GCA_000220355.1,EGQ39881.1,PF17676.4,Peptidase_S66C,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ39881.1@GCA_000220355.1
GCA_000220355.1,EGQ39893.1,PF01425.24,Amidase,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ39893.1@GCA_000220355.1
GCA_000220355.1,EGQ40113.1,PF02016.18,Peptidase_S66,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ40113.1@GCA_000220355.1
GCA_000220355.1,EGQ40113.1,PF17676.4,Peptidase_S66C,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ40113.1@GCA_000220355.1
GCA_000220355.1,EGQ40283.1,PF01425.24,Amidase,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalinarum,Nanosalinarum sp000220355,EGQ40283.1@GCA_000220355.1
GCA_000220375.1,EGQ43447.1,PF02016.18,Peptidase_S66,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalina,Nanosalina sp000220375,EGQ43447.1@GCA_000220375.1
GCA_000220375.1,EGQ43572.1,PF02016.18,Peptidase_S66,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalina,Nanosalina sp000220375,EGQ43572.1@GCA_000220375.1
GCA_000220375.1,EGQ43572.1,PF17676.4,Peptidase_S66C,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalina,Nanosalina sp000220375,EGQ43572.1@GCA_000220375.1
GCA_000220375.1,EGQ43656.1,PF01425.24,Amidase,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalina,Nanosalina sp000220375,EGQ43656.1@GCA_000220375.1
GCA_000220375.1,EGQ43678.1,PF02016.18,Peptidase_S66,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalina,Nanosalina sp000220375,EGQ43678.1@GCA_000220375.1
GCA_000220375.1,EGQ43678.1,PF17676.4,Peptidase_S66C,Archaea,Nanohaloarchaeota,Nanosalinia,Nanosalinales,Nanosalinaceae,Nanosalina,Nanosalina sp000220375,EGQ43678.1@GCA_000220375.1
GCA_000224475.1,AEN04875.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN04875.1@GCA_000224475.1
GCA_000224475.1,AEN04937.1,PF01425.24,Amidase,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halolamina,Halolamina sp000224475,AEN04937.1@GCA_000224475.1
