query,target,pfam_domain,domain_type,normalized_score,rank
AAZ82464.1@DQ113772$Amidase_2:16-152,WP_000350458.1@GCF_001457635.1,Amidase_2,catalytic,95.81,1
AAZ82464.1@DQ113772$Choline_bind_1:196-215,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.34,1
AAZ82464.1@DQ113772$Choline_bind_1:217-237,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,74.79,1
AAZ82464.1@DQ113772$Choline_bind_1:238-257,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,82.05,1
AAZ82464.1@DQ113772$Choline_bind_1:258-278,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,83.15,1
AAZ82464.1@DQ113772$Choline_bind_1:280-301,WP_000350458.1@GCF_001457635.1,Choline_bind_1,cell wall binding,79.27,1
AAZ82464.1@DQ113772$Choline_bind_3:195-239,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,88.82,1
AAZ82464.1@DQ113772$Choline_bind_3:237-283,WP_000350458.1@GCF_001457635.1,Choline_bind_3,cell wall binding,93.71,1
ABD63745.1@DQ394807$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,93.88,1
ABD63745.1@DQ394807$LysM:332-376,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,83.26,1
ABD63745.1@DQ394807$LysM:386-428,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,83.87,1
ABI54253.1@DQ838728$Glyco_hydro_25:32-217,WP_025016890.1@GCF_900099625.1,Glyco_hydro_25,catalytic,95.02,1
ABI54253.1@DQ838728$LysM:334-378,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,82.15,1
ABI54253.1@DQ838728$LysM:388-430,WP_025016890.1@GCF_900099625.1,LysM,cell wall binding,82.02,1
AGF87420.1@KC348600$SH3_5:195-262,AUC92122.1@GCA_002831545.1,SH3_5,cell wall binding,20.12,26
AGF87477.1@KC348601$SH3_5:161-228,AUC91164.1@GCA_002831545.1,SH3_5,cell wall binding,45.13,2
AGK88055.1@KC847113$Amidase_2:18-141,WP_003213521.1@GCF_900186955.1,Amidase_2,catalytic,89.24,3
AGK88055.1@KC847113$PG_binding_1:204-267,WP_003213024.1@GCF_900186955.1,PG_binding_1,cell wall binding,78.07,4
