DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Domain
COLOR,#d55e00
COLOR_BRANCHES,1
SHOW_STRIP_LABELS,0
STRIP_LABEL_COLOR,#ffffff
LEGEND_TITLE,Domain
LEGEND_COLORS,#de8f05,#0173b2
LEGEND_LABELS,Archaea,Bacteria
LEGEND_SHAPES,1,1
MARGIN,0
DATA
BAF61015.1@GCA_000010565.1_187_283,#0173b2,Bacteria
DBRJ01000020.1_51@GCA_002305915.1_191_287,#0173b2,Bacteria
DFND01000038.1_1@GCA_002375895.1_214_310,#0173b2,Bacteria
PKEU01000149.1_58@GCA_002919195.1_234_330,#0173b2,Bacteria
MBO2472589.1@GCA_017577945.1_236_332,#0173b2,Bacteria
MBO2476595.1@GCA_017578085.1_233_329,#0173b2,Bacteria
MBO8142490.1@GCA_017656145.1_211_307,#0173b2,Bacteria
NLN29385.1@GCA_012522135.1_135_231,#0173b2,Bacteria
LFRS01000069.1_24@GCA_001512435.1_280_376,#0173b2,Bacteria
NLM97621.1@GCA_012521855.1_275_371,#0173b2,Bacteria
MCG8515562.1@GCA_022360715.1_182_278,#0173b2,Bacteria
JAGYMU010000020.1_11@GCA_018399995.1_215_311,#0173b2,Bacteria
MCF8001869.1@GCA_021736945.1_133_229,#0173b2,Bacteria
WP_014553426.1@GCF_000165465.1_249_345,#0173b2,Bacteria
WP_005487762.1@GCF_000350165.1_238_334,#0173b2,Bacteria
WP_108137882.1@GCF_003053565.1_274_370,#0173b2,Bacteria
WP_076545335.1@GCF_900156285.1_281_377,#0173b2,Bacteria
WP_089860859.1@GCF_900114545.1_263_359,#0173b2,Bacteria
WP_013405605.1@GCF_000166415.1_231_327,#0173b2,Bacteria
WP_229343782.1@GCF_020711195.1_229_325,#0173b2,Bacteria
WP_012635430.1@GCF_000020485.1_318_414,#0173b2,Bacteria
WP_089749127.1@GCF_900114655.1_247_343,#0173b2,Bacteria
WP_143555626.1@GCF_900167185.1_255_351,#0173b2,Bacteria
JADQBV010000170.1_3@GCA_016278415.1_270_366,#0173b2,Bacteria
WP_108138733.1@GCF_003053565.1_276_372,#0173b2,Bacteria
WP_073158302.1@GCF_003259895.1_276_372,#0173b2,Bacteria
WP_114457523.1@GCF_003337245.1_276_372,#0173b2,Bacteria
WP_076544515.1@GCF_900156285.1_276_372,#0173b2,Bacteria
WP_089717708.1@GCF_004366375.1_276_372,#0173b2,Bacteria
WP_089717708.1@GCF_004362045.1_276_372,#0173b2,Bacteria
JADQBV010000141.1_7@GCA_016278415.1_199_295,#0173b2,Bacteria
JADQBT010000013.1_13@GCA_016278485.1_178_274,#0173b2,Bacteria
WP_089749584.1@GCF_900114655.1_239_335,#0173b2,Bacteria
SLSL01000064.1_7@GCA_007130465.1_274_370,#0173b2,Bacteria
MBF8435909.1@GCA_015666175.1_274_370,#0173b2,Bacteria
WP_089760375.1@GCF_900103135.1_231_327,#0173b2,Bacteria
JAENYK010000001.1_473@GCA_016841825.1_273_369,#0173b2,Bacteria
MCK4260406.1@GCA_023128035.1_188_284,#0173b2,Bacteria
WP_127015392.1@GCF_003991135.1_156_252,#0173b2,Bacteria
JAJYMC010000054.1_32@GCA_021787335.1_218_314,#0173b2,Bacteria
JAJZPE010000011.1_4@GCA_021811325.1_214_310,#0173b2,Bacteria
WP_068716971.1@GCF_001693735.1_244_340,#0173b2,Bacteria
WP_097017229.1@GCF_003001995.1_244_340,#0173b2,Bacteria
WP_181186450.1@GCF_003001995.1_228_323,#0173b2,Bacteria
WP_282580178.1@GCF_023223645.1_211_307,#0173b2,Bacteria
LFRS01000102.1_90@GCA_001512435.1_236_332,#0173b2,Bacteria
NLM96795.1@GCA_012521855.1_238_334,#0173b2,Bacteria
JADQBV010000233.1_3@GCA_016278415.1_239_335,#0173b2,Bacteria
WP_230866722.1@GCF_017751145.1_240_336,#0173b2,Bacteria
WP_012636041.1@GCF_000020485.1_223_319,#0173b2,Bacteria
LFTN01000113.1_2@GCA_001513495.1_243_339,#0173b2,Bacteria
NLY51868.1@GCA_012735435.1_242_338,#0173b2,Bacteria
HHV94183.1@GCA_012839845.1_241_337,#0173b2,Bacteria
NLY30919.1@GCA_012727675.1_242_338,#0173b2,Bacteria
NLK07881.1@GCA_012519025.1_225_321,#0173b2,Bacteria
NMB45196.1@GCA_012798695.1_242_338,#0173b2,Bacteria
DHRX01000093.1_3@GCA_002408345.1_250_346,#0173b2,Bacteria
MBO8127449.1@GCA_017656135.1_212_308,#0173b2,Bacteria
