DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,PGH proteins
COLOR,#d55e00
FIELD_SHAPES,1
FIELD_LABELS,PGH
FIELD_COLORS,#9a6324
LEGEND_COLORS,#9a6324
LEGEND_LABELS,PGH
LEGEND_SHAPES,1
LEGEND_TITLE,PGH proteins
MARGIN,5
WIDTH,20
BORDER_WIDTH,0.0
SYMBOL_SPACING,10
HEIGHT_FACTOR,1
DATA
GCF_900110535.1,1
GCF_024662215.1,-1
GCA_005239435.1,-1
GCF_003841485.1,-1
GCA_022869805.1,-1
GCF_009914725.1,-1
GCF_013415885.1,-1
GCF_900112205.1,-1
GCF_001315945.1,-1
GCA_002495055.1,-1
GCA_002503595.1,-1
GCA_013415795.1,-1
GCA_015520115.1,-1
GCA_025059545.1,-1
GCA_012516785.1,-1
GCF_000230715.2,-1
GCA_020725315.1,-1
GCF_013391085.1,-1
GCF_000427685.1,-1
GCF_000969885.1,-1
GCA_021129915.1,-1
GCA_001512375.1,-1
GCA_015661395.1,-1
GCA_013178225.1,-1
GCF_023008585.1,-1
GCA_012729535.1,-1
GCA_004212095.1,-1
GCA_014237145.1,-1
GCA_903832665.1,-1
GCA_015522195.1,-1
GCA_017883495.1,-1
GCA_018883755.1,-1
GCF_004116405.1,-1
GCF_000455345.1,-1
GCA_905067555.1,-1
GCF_900113245.1,-1
GCA_009783635.1,-1
GCA_018263395.1,-1
GCA_013374385.1,-1
GCF_001368915.1,-1
GCA_000789255.1,-1
GCA_023659785.1,-1
GCF_004118325.1,-1
GCF_003856835.1,-1
GCF_014647475.1,-1
GCA_016928355.1,-1
GCA_017656475.1,-1
GCF_013391635.1,-1
GCA_022711635.1,-1
GCA_015660965.1,-1
GCF_013342145.1,-1
GCF_017094465.1,-1
GCF_023703795.1,-1
GCA_009889625.1,-1
GCF_000025625.1,1
GCF_001307315.1,-1
GCA_025041175.1,1
GCF_003173335.1,-1
GCA_002839605.1,-1
GCF_001469875.2,-1
GCF_008831545.1,1
GCA_003601535.1,-1
GCF_900215575.1,-1
GCF_001482285.1,-1
GCF_009741825.1,-1
GCF_000328665.1,-1
GCF_017875325.1,-1
GCF_023276375.1,1
GCF_023973145.1,1
GCF_002761295.1,-1
GCF_900110865.1,-1
GCF_024298865.1,-1
GCF_001011115.1,-1
GCF_023028345.1,-1
GCF_002844335.1,-1
GCF_000970285.1,-1
GCF_000063445.1,-1
GCA_003663025.1,-1
GCF_024228315.1,-1
GCA_003552325.1,-1
GCF_009831575.1,-1
GCA_003021655.1,-1
GCA_020696975.1,-1
GCF_003605635.1,-1
GCA_002839545.1,-1
GCF_021028995.1,-1
GCF_001861355.1,1
GCF_001571405.1,-1
GCA_002503135.1,-1
GCA_003665935.1,-1
GCF_003841505.1,-1
GCA_003104905.1,-1
GCA_003023485.1,-1
GCF_000336715.1,-1
GCA_003662985.1,-1
GCF_000979455.1,-1
GCA_001564275.1,1
