query_organism,query_accession,query_protein_id,query_pfam_domain,query_start,query_end,target_accession,target_protein_id,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,ncbi_organism_name,rank_sequence,rank_structure,average_rank
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000283335.1,WP_009365375.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halogranum,Halogranum rubrum,Halogranum salarium B-1,1,1,1
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_900156425.1,WP_175609653.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus litoreus,Haladaptatus litoreus,2,2,2
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_023074835.1,WP_247418429.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloarculaceae,Halomarina,Halomarina salina,Halomarina salina,5,3,4
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_020700235.1,WP_265338400.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus pallidirubidus,Haladaptatus pallidirubidus,4,4,4
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_002844195.1,WP_143423131.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haloferacaceae,Halegenticoccus,Halegenticoccus soli,Halegenticoccus soli,3,6,4.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000710615.1,WP_158413663.1,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Haladaptataceae,Haladaptatus,Haladaptatus cibarius,Haladaptatus cibarius D43,6,5,5.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_012518215.1,NLI70887.1,Bacteria,Bacillota_D,Dethiobacteria,DTU022,PWGO01,JAAYSV01,JAAYSV01 sp012518215,Firmicutes bacterium,8,7,7.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_012727685.1,NLY38175.1,Bacteria,Bacillota_D,Dethiobacteria,DTU022,DTU022,JAAYGO01,JAAYGO01 sp012727685,Firmicutes bacterium,9,8,8.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000092905.1,WP_013074397.1,Bacteria,Bacillota,Bacilli,Kyrpidiales,Kyrpidiaceae,Kyrpidia,Kyrpidia tusciae,Kyrpidia tusciae DSM 2912,7,14,10.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_024125425.1,WP_253077416.1,Bacteria,Bacillota,Bacilli,Bacillales_K,Sporolactobacillaceae,Sporolactobacillus,Sporolactobacillus kofuensis,Sporolactobacillus kofuensis,11,10,10.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_022558445.1,WP_241421787.1,Bacteria,Bacillota_D,Dethiobacteria,SKNC01,SKNC01,Contubernalis,Contubernalis alkalaceticum,Candidatus Contubernalis alkalaceticum,12,11,11.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_012799185.1,NMA91818.1,Bacteria,Bacillota_D,Dethiobacteria,DTU022,DTU022,JAAZLS01,JAAZLS01 sp012799185,Firmicutes bacterium,16,9,12.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000376225.1,WP_018132118.1,Bacteria,Bacillota,Bacilli,Tumebacillales,Effusibacillaceae,Effusibacillus,Effusibacillus pohliae,Effusibacillus pohliae DSM 22757,13,12,12.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017742235.1,WP_209094514.1,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae_G,JAGHKQ01,JAGHKQ01 sp017742235,Bacillus sp. 165,18,13,15.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_021811425.1,JAJZPA010000009.1_12,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,JAJZPA01,JAJZPA01 sp021811425,Firmicutes bacterium,22,15,18.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_002804065.1,WP_100666906.1,Bacteria,Bacillota,Bacilli,Kyrpidiales,Kyrpidiaceae,Kyrpidia,Kyrpidia spormannii,Kyrpidia spormannii,10,27,18.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000429525.1,WP_051321773.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_A,Alicyclobacillus_A contaminans,Alicyclobacillus contaminans DSM 17975,20,18,19
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_020692355.1,JAIMKP010000005.1_63,Bacteria,Bacillota_B,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,JAJZPA01,JAJZPA01 sp020692355,Desulfosporosinus sp.,26,16,21
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_021799255.1,JAJZAV010000082.1_10,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAJZAV01,JAJZAV01 sp021799255,Firmicutes bacterium,27,20,23.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000429525.1,WP_026975966.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_A,Alicyclobacillus_A contaminans,Alicyclobacillus contaminans DSM 17975,28,22,25
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_003570705.1,WP_119114814.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Bacillus_AZ,Bacillus_AZ zeae,Mesobacillus zeae,17,33,25
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_000431335.1,CDC05996.1,Bacteria,Bacillota_A,Clostridia,TANB77,CAG-508,CAG-269,CAG-269 sp000431335,Clostridium sp. CAG:343,40,17,28.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_023511295.1,MCL6453658.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAIMBT01,JAIMBT01 sp023511295,Alicyclobacillus sp.,36,24,30
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_022809095.1,WP_279326728.1,Bacteria,Bacillota,Bacilli,Bacillales,Aeribacillaceae,Bacillus_BZ,Bacillus_BZ kexueae,Bacillus kexueae,42,19,30.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017329615.1,WP_021298460.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus suci,Alicyclobacillus suci,32,31,31.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000242895.2,WP_236619591.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Bacillus_BU,Bacillus_BU sp000242895,Bacillus sp. 1NLA3E,15,49,32
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_000383875.1,WP_020155315.1,Bacteria,Bacillota,Bacilli,Bacillales,Caldibacillaceae,Caldibacillus,Caldibacillus debilis,Caldibacillus debilis DSM 16016,39,28,33.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_022674245.1,WP_021298460.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidoterrestris,Alicyclobacillus acidoterrestris,33,34,33.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_017329605.1,WP_236011511.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus fructus,Alicyclobacillus fructus,44,23,33.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_022674245.1,WP_021298449.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidoterrestris,Alicyclobacillus acidoterrestris,25,44,34.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_024494465.1,WP_256243039.1,Bacteria,Bacillota,Bacilli,Bacillales,DSM-18226,Bacillus_BD,Bacillus_BD sp024494465,Bacillus sp. V3B,47,26,36.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_021799255.1,JAJZAV010000036.1_12,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,JAJZAV01,JAJZAV01 sp021799255,Firmicutes bacterium,30,45,37.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCA_022818495.1,UOF90259.1,Bacteria,Bacillota,Bacilli,Tumebacillales,MYW30-H2,MYW30-H2,MYW30-H2 sp022818495,Alicyclobacillaceae bacterium MYW30-H2,23,54,38.5
Halogranum salarium B-1,GCF_000283335.1,WP_009365375.1,Glucosaminidase,67,181,GCF_001399675.1,WP_054970538.1,Bacteria,Bacillota,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus_B,Alicyclobacillus_B ferrooxydans,Alicyclobacillus ferrooxydans,49,29,39
