protein_id,signal_peptide,probability,cleavage_site,cleavage_site_prob
AEN04494.1@GCA_000224475.1,Tat/SPII,0.999882,26-27,0.851422
AEN04510.1@GCA_000224475.1,Tat/SPII,0.999904,21-22,0.847711
AEN04532.1@GCA_000224475.1,Sec/SPII,0.980347,15-16,0.954845
AEN04547.1@GCA_000224475.1,Sec/SPI,0.739303,28-29,0.702220
AEN04548.1@GCA_000224475.1,Sec/SPI,0.998561,24-25,0.959543
AEN04590.1@GCA_000224475.1,Sec/SPI,0.999207,23-24,0.967372
AEN04595.1@GCA_000224475.1,Sec/SPI,0.998434,25-26,0.981145
AEN04599.1@GCA_000224475.1,Sec/SPI,0.998480,34-35,0.951161
AEN04609.1@GCA_000224475.1,Sec/SPII,1.000061,15-16,0.990465
AEN04618.1@GCA_000224475.1,Tat/SPI,0.999970,30-31,0.925696
AEN04630.1@GCA_000224475.1,Tat/SPII,0.999966,29-30,0.842004
AEN04661.1@GCA_000224475.1,Tat/SPI,0.996699,25-26,0.931960
AEN04668.1@GCA_000224475.1,Tat/SPII,0.999804,24-25,0.855692
AEN04696.1@GCA_000224475.1,Sec/SPII,0.532933,21-22,0.518722
AEN04722.1@GCA_000224475.1,Sec/SPI,0.999095,22-23,0.978827
AEN04754.1@GCA_000224475.1,Tat/SPI,0.999985,32-33,0.916315
AEN04777.1@GCA_000224475.1,Sec/SPII,0.997075,20-21,0.973638
AEN04778.1@GCA_000224475.1,Tat/SPII,0.638920,20-21,0.541773
AEN04788.1@GCA_000224475.1,Tat/SPII,0.998678,22-23,0.862562
AEN04789.1@GCA_000224475.1,Tat/SPII,0.902002,47-48,0.749247
AEN04807.1@GCA_000224475.1,Tat/SPII,0.943624,20-21,0.801844
AEN04838.1@GCA_000224475.1,Tat/SPII,0.999938,24-25,0.843269
AEN04841.1@GCA_000224475.1,Tat/SPII,0.998366,22-23,0.857394
AEN04843.1@GCA_000224475.1,Tat/SPII,0.999606,22-23,0.847702
AEN04851.1@GCA_000224475.1,Sec/SPI,0.604386,30-31,0.302976
AEN04878.1@GCA_000224475.1,Tat/SPII,0.998964,31-32,0.842214
AEN04886.1@GCA_000224475.1,Sec/SPI,0.998772,29-30,0.962652
AEN04903.1@GCA_000224475.1,Tat/SPII,0.999883,27-28,0.845292
AEN04925.1@GCA_000224475.1,Sec/SPI,0.506393,36-37,0.455343
AEN04945.1@GCA_000224475.1,Tat/SPII,0.998694,23-24,0.845093
AEN04966.1@GCA_000224475.1,Tat/SPII,0.998840,24-25,0.838788
AEN04991.1@GCA_000224475.1,Tat/SPI,0.999978,37-38,0.888693
AEN05004.1@GCA_000224475.1,Tat/SPII,0.997636,26-27,0.856264
AEN05025.1@GCA_000224475.1,Tat/SPI,0.999991,31-32,0.709523
AEN05032.1@GCA_000224475.1,Tat/SPII,0.996808,29-30,0.840718
AEN05037.1@GCA_000224475.1,Tat/SPII,0.997105,21-22,0.854464
AEN05145.1@GCA_000224475.1,Tat/SPI,0.997670,22-23,0.536885
AEN05168.1@GCA_000224475.1,Sec/SPII,0.999732,8-9,0.988302
AEN05175.1@GCA_000224475.1,Tat/SPII,0.999554,29-30,0.848643
AEN05176.1@GCA_000224475.1,Tat/SPII,0.975000,20-21,0.828207
AEN05222.1@GCA_000224475.1,Sec/SPII,1.000063,17-18,0.996684
AEN05247.1@GCA_000224475.1,Sec/SPI,0.993924,33-34,0.934545
AEN05260.1@GCA_000224475.1,Tat/SPII,0.999791,25-26,0.850001
AEN05261.1@GCA_000224475.1,Tat/SPII,0.602103,68-69,0.358099
AEN05301.1@GCA_000224475.1,Tat/SPII,0.999263,32-33,0.827026
AEN05305.1@GCA_000224475.1,Tat/SPII,0.999790,28-29,0.841025
AEN05310.1@GCA_000224475.1,Sec/SPII,0.971840,16-17,0.951709
AEN05369.1@GCA_000224475.1,Sec/SPII,0.999815,14-15,0.982164
AEN05379.1@GCA_000224475.1,Tat/SPII,0.996611,32-33,0.841524
AEN05384.1@GCA_000224475.1,Sec/SPI,0.636206,40-41,0.674994
AEN05399.1@GCA_000224475.1,Tat/SPII,0.999881,27-28,0.845848
AEN05443.1@GCA_000224475.1,Sec/SPI,0.741366,43-44,0.688221
AEN05460.1@GCA_000224475.1,Tat/SPII,0.999342,32-33,0.839077
AEN05475.1@GCA_000224475.1,Sec/SPII,1.000017,15-16,0.990641
AEN05512.1@GCA_000224475.1,Tat/SPII,0.996849,26-27,0.842334
AEN05527.1@GCA_000224475.1,Sec/SPI,0.898062,25-26,0.929319
AEN05582.1@GCA_000224475.1,Tat/SPII,0.999874,27-28,0.841505
