assembly_accession,protein_id,hmm_accession,hmm_query,domain,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species
GCA_000016605.1,ABP95145.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula
GCA_000247545.1,AFA39332.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum oguniense
GCA_000306725.1,AFV23806.1,PF01471.21,PG_binding_1,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,Methanosarcinaceae,Methanolobus,Methanolobus psychrophilus
GCA_000337115.1,ELZ08810.1,PF01476.23,LysM,Archaea,Halobacteriota,Halobacteria,Halobacteriales,Natrialbaceae,Natrinema,Natrinema thermotolerans
GCA_000380705.1,AQYM01000023.1_51,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei,Gearchaeales,Gearchaeaceae,SCGC-AAA471-B05,SCGC-AAA471-B05 sp000380705
GCA_000495735.1,ESQ24174.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Acidilobaceae,Acidilobus,Acidilobus sp000495735
GCA_000499765.1,CDG64340.1,PF08823.14,PG_binding_2,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765
GCA_000499765.1,CDG64340.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765
GCA_000499765.1,CDG65053.1,PF01471.21,PG_binding_1,Archaea,Methanobacteriota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium sp000499765
GCA_000508305.1,AHC51922.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei_A,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus acidocaldarius_A
GCA_000806115.1,KHO48487.1,PF01476.23,LysM,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp000806115
GCA_000830295.1,AJF61973.1,PF01476.23,LysM,Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,GW2011-AR15,GW2011-AR15,GW2011-AR15 sp000830295
GCA_000960885.1,KJR73328.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Thermoproteus sp000960885
GCA_001189275.1,AKT34922.1,PF08823.14,PG_binding_2,Archaea,Thermoproteota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Pyrobaculum sp001189275
