DATASET_COLORSTRIP
SEPARATOR COMMA
DATASET_LABEL,Domain
COLOR,#d55e00
COLOR_BRANCHES,1
SHOW_STRIP_LABELS,0
STRIP_LABEL_COLOR,#ffffff
LEGEND_TITLE,Domain
LEGEND_COLORS,#de8f05,#0173b2
LEGEND_LABELS,Archaea,Bacteria
LEGEND_SHAPES,1,1
MARGIN,0
DATA
ABX04791.1@GCA_000018565.1_40_91,#0173b2,Bacteria
MCA0350706.1@GCA_020161265.1_40_91,#0173b2,Bacteria
WP_054533861.1@GCF_001306135.1_40_91,#0173b2,Bacteria
WP_204755178.1@GCF_016907925.1_40_91,#0173b2,Bacteria
WP_110514391.1@GCF_003205875.1_40_91,#0173b2,Bacteria
JABXJS010000116.1_3@GCA_013538855.1_41_92,#0173b2,Bacteria
MBV9787008.1@GCA_019240175.1_45_96,#0173b2,Bacteria
ABX07821.1@GCA_000018565.1_40_91,#0173b2,Bacteria
MPZ85326.1@GCA_009379765.1_42_98,#0173b2,Bacteria
WP_252481859.1@GCF_023897065.1_42_98,#0173b2,Bacteria
WP_075129373.1@GCF_001921205.1_42_98,#0173b2,Bacteria
WP_184814420.1@GCF_014203735.1_36_92,#0173b2,Bacteria
WP_205113908.1@GCF_016907715.1_39_95,#0173b2,Bacteria
WP_253753030.1@GCF_024172085.1_40_96,#0173b2,Bacteria
WP_243866644.1@GCF_004364325.1_35_91,#0173b2,Bacteria
WP_075137548.1@GCF_001921215.1_42_98,#0173b2,Bacteria
WP_131295310.1@GCF_004331435.1_36_92,#0173b2,Bacteria
WP_131345591.1@GCF_004331345.1_36_92,#0173b2,Bacteria
WP_238175453.1@GCF_004366075.1_20_76,#0173b2,Bacteria
WP_171675805.1@GCF_013131805.1_35_91,#0173b2,Bacteria
WP_239122041.1@GCF_014202425.1_25_81,#0173b2,Bacteria
WP_197004233.1@GCF_015751905.1_37_93,#0173b2,Bacteria
MCI0689063.1@GCA_022616375.1_16_72,#0173b2,Bacteria
WP_142005427.1@GCF_006716095.1_63_120,#0173b2,Bacteria
WP_092527667.1@GCF_900115565.1_39_95,#0173b2,Bacteria
WP_142003099.1@GCF_006715045.1_39_95,#0173b2,Bacteria
WP_216216416.1@GCF_018885265.1_39_95,#0173b2,Bacteria
WP_091678229.1@GCF_900111885.1_39_95,#0173b2,Bacteria
WP_123747345.1@GCF_003752005.1_36_92,#0173b2,Bacteria
WP_054046659.1@GCF_900070365.1_39_95,#0173b2,Bacteria
WP_091373580.1@GCF_004362515.1_38_94,#0173b2,Bacteria
WP_082859691.1@GCF_900070365.1_222_278,#0173b2,Bacteria
WP_091373586.1@GCF_004362515.1_215_271,#0173b2,Bacteria
WP_081900490.1@GCF_900103775.1_44_100,#0173b2,Bacteria
WP_210408101.1@GCF_002155965.1_44_101,#0173b2,Bacteria
WP_232778627.1@GCF_001543895.1_59_115,#0173b2,Bacteria
WP_084556185.1@GCF_003751945.1_60_116,#0173b2,Bacteria
WP_074585963.1@GCF_900099975.1_219_275,#0173b2,Bacteria
WP_120520584.1@GCF_003614925.1_222_278,#0173b2,Bacteria
WP_142093662.1@GCF_006716235.1_51_107,#0173b2,Bacteria
MCB9127301.1@GCA_020634795.1_76_133,#0173b2,Bacteria
CAJOIU010000014.1_25@GCA_905234855.1_326_382,#0173b2,Bacteria
DCTV01000021.1_12@GCA_002329665.1_114_170,#0173b2,Bacteria
MCI0484572.1@GCA_022615475.1_19_74,#0173b2,Bacteria
WP_249316383.1@GCF_014384795.1_187_243,#0173b2,Bacteria
WP_249316483.1@GCF_014384795.1_179_235,#0173b2,Bacteria
MBP3633834.1@GCA_017938625.1_35_92,#0173b2,Bacteria
DCTV01000021.1_12@GCA_002329665.1_35_91,#0173b2,Bacteria
WP_054873791.1@GCF_001317355.1_33_90,#0173b2,Bacteria
WP_024794452.1@GCF_000524475.1_170_229,#0173b2,Bacteria
WP_114560189.1@GCF_003344635.1_198_255,#0173b2,Bacteria
WP_197430181.1@GCF_009742705.1_188_245,#0173b2,Bacteria
WP_114560190.1@GCF_003344635.1_209_266,#0173b2,Bacteria
WP_156611357.1@GCF_009742705.1_223_280,#0173b2,Bacteria
MBO4887963.1@GCA_017620135.1_630_686,#0173b2,Bacteria
MBQ7059342.1@GCA_017442735.1_630_686,#0173b2,Bacteria
AEW03707.1@GCA_000237975.1_127_183,#0173b2,Bacteria
JAJZZA010000057.1_12@GCA_021797825.1_124_180,#0173b2,Bacteria
PSR32851.1@GCA_003023695.1_135_191,#0173b2,Bacteria
