target_name,accession,query_name,accession_query,full_evalue,full_score,full_bias,dom_evalue,dom_score,dom_bias,exp,reg,clu,ov,env,dom,rep,inc
MCI5866507.1@GCA_022768985.1,GCA_022768985.1,newDdlB,-,9.1e-92,320.2,0.3,9.999999999999999e-92,320.0,0.3,1.0,1,0,0,1,1,1,1
WTHQ01000015.1_4@GCA_011523055.1,GCA_011523055.1,newDdlB,-,1.1e-81,287.1,0.1,1.2e-81,286.9,0.1,1.0,1,0,0,1,1,1,1
PIN78533.1@GCA_002762865.1,GCA_002762865.1,newDdlB,-,5.2e-74,261.8,0.0,6.5e-74,261.5,0.0,1.0,1,0,0,1,1,1,1
JALRLN010000114.1_3@GCA_023254445.1,GCA_023254445.1,newDdlB,-,2.3e-67,240.0,0.0,2.8e-67,239.7,0.0,1.0,1,0,0,1,1,1,1
NQU98779.1@GCA_013202845.1,GCA_013202845.1,newDdlB,-,3.9e-65,232.7,0.7,4.8e-65,232.4,0.7,1.0,1,0,0,1,1,1,1
MBU7039562.1@GCA_018992565.1,GCA_018992565.1,newDdlB,-,8e-59,211.9,0.0,9.1e-59,211.7,0.0,1.0,1,0,0,1,1,1,1
MBS7612149.1@GCA_018396755.1,GCA_018396755.1,newDdlB,-,1e-58,211.6,0.0,1.3e-58,211.2,0.0,1.0,1,0,0,1,1,1,1
MBS7615131.1@GCA_018397055.1,GCA_018397055.1,newDdlB,-,1.1e-58,211.5,0.0,1.4e-58,211.1,0.0,1.0,1,0,0,1,1,1,1
MBW2980607.1@GCA_019322485.1,GCA_019322485.1,newDdlB,-,5.3e-58,209.2,0.0,7e-58,208.8,0.0,1.0,1,0,0,1,1,1,1
MBW2984413.1@GCA_019322805.1,GCA_019322805.1,newDdlB,-,5.7e-58,209.1,0.0,7.4e-58,208.8,0.0,1.0,1,0,0,1,1,1,1
MBS7606369.1@GCA_018396655.1,GCA_018396655.1,newDdlB,-,4.6e-57,206.2,0.0,5.8e-57,205.8,0.0,1.0,1,0,0,1,1,1,1
MBU7037982.1@GCA_018992685.1,GCA_018992685.1,newDdlB,-,6.7e-57,205.6,0.0,7.7e-57,205.4,0.0,1.0,1,0,0,1,1,1,1
NHW44684.1@GCA_011605835.1,GCA_011605835.1,newDdlB,-,7.2e-57,205.5,0.0,8.900000000000001e-57,205.2,0.0,1.0,1,0,0,1,1,1,1
MBS7639996.1@GCA_018396975.1,GCA_018396975.1,newDdlB,-,9.999999999999999e-57,205.0,0.0,1.3e-56,204.7,0.0,1.0,1,0,0,1,1,1,1
JACWAN010000099.1_4@GCA_014874255.1,GCA_014874255.1,newDdlB,-,1.1e-56,205.0,0.1,7.900000000000001e-44,162.7,0.0,3.0,3,1,0,3,3,2,2
PIZ90976.1@GCA_002792915.1,GCA_002792915.1,newDdlB,-,1.5e-56,204.5,0.1,1.2999999999999998e-43,162.0,0.0,2.7,3,1,0,3,3,2,2
MBS7654728.1@GCA_018396435.1,GCA_018396435.1,newDdlB,-,1.5e-56,204.5,0.0,1.8e-56,204.2,0.0,1.0,1,0,0,1,1,1,1
MBI2530184.1@GCA_016187745.1,GCA_016187745.1,newDdlB,-,2.2e-56,203.9,0.0,2.9e-56,203.5,0.0,1.0,1,0,0,1,1,1,1
MBI2107108.1@GCA_016181245.1,GCA_016181245.1,newDdlB,-,2.6e-56,203.7,0.3,3.6e-56,203.2,0.3,1.0,1,0,0,1,1,1,1
MCS7120023.1@GCA_025059045.1,GCA_025059045.1,newDdlB,-,3.3e-56,203.3,0.0,4.2e-56,203.0,0.0,1.0,1,0,0,1,1,1,1
MBS7642334.1@GCA_018396535.1,GCA_018396535.1,newDdlB,-,3.4e-56,203.3,0.0,4.3e-56,203.0,0.0,1.0,1,0,0,1,1,1,1
MBS7654082.1@GCA_018396435.1,GCA_018396435.1,newDdlB,-,3.8999999999999997e-56,203.1,0.0,5.1e-56,202.7,0.0,1.0,1,0,0,1,1,1,1
DALH01000027.1_13@GCA_002499405.1,GCA_002499405.1,newDdlB,-,8.6e-56,202.0,0.0,2.5999999999999996e-43,161.0,0.0,3.3,3,1,0,3,3,2,2
MCS7116178.1@GCA_025058425.1,GCA_025058425.1,newDdlB,-,1e-55,201.8,0.0,1.3e-55,201.4,0.0,1.0,1,0,0,1,1,1,1
MBS7634308.1@GCA_018396555.1,GCA_018396555.1,newDdlB,-,1.4999999999999999e-55,201.2,0.0,2e-55,200.8,0.0,1.0,1,0,0,1,1,1,1
MBS7640234.1@GCA_018396995.1,GCA_018396995.1,newDdlB,-,2e-55,200.8,0.0,2.4999999999999997e-55,200.5,0.0,1.0,1,0,0,1,1,1,1
MCS7113447.1@GCA_025058595.1,GCA_025058595.1,newDdlB,-,2.4e-55,200.5,0.0,3.0999999999999996e-55,200.2,0.0,1.0,1,0,0,1,1,1,1
MBN2052461.1@GCA_016932315.1,GCA_016932315.1,newDdlB,-,3.8e-55,199.9,0.0,4.699999999999999e-55,199.6,0.0,1.0,1,0,0,1,1,1,1
WUQU01000116.1_1@GCA_009889605.1,GCA_009889605.1,newDdlB,-,4.1999999999999996e-55,199.7,0.6,4.5999999999999995e-55,199.6,0.6,1.0,1,0,0,1,1,1,1
NHI93909.1@GCA_011365055.1,GCA_011365055.1,newDdlB,-,4.4e-55,199.6,0.0,5.9e-55,199.2,0.0,1.0,1,0,0,1,1,1,1
MCL4436178.1@GCA_023379805.1,GCA_023379805.1,newDdlB,-,5.9999999999999996e-55,199.2,0.0,8e-55,198.8,0.0,1.0,1,0,0,1,1,1,1
MBI2936618.1@GCA_016190055.1,GCA_016190055.1,newDdlB,-,6.499999999999999e-55,199.1,0.0,8.599999999999999e-55,198.7,0.0,1.0,1,0,0,1,1,1,1
MBI2047235.1@GCA_016181905.1,GCA_016181905.1,newDdlB,-,6.6e-55,199.1,0.1,4.2e-30,117.6,0.3,2.0,2,0,0,2,2,2,2
WP_147663292.1@GCF_008000775.1,GCF_008000775.1,newDdlB,-,8.099999999999999e-55,198.8,0.0,1.1e-54,198.3,0.0,1.1,1,0,0,1,1,1,1
PIU21056.1@GCA_002779065.1,GCA_002779065.1,newDdlB,-,1.1999999999999999e-54,198.3,0.4,4.3e-41,153.7,0.0,2.8,2,2,0,2,2,2,2
TDA34977.1@GCA_004347965.1,GCA_004347965.1,newDdlB,-,1.1999999999999999e-54,198.2,0.0,1.4e-54,197.9,0.0,1.0,1,0,0,1,1,1,1
MBU1201519.1@GCA_018819065.1,GCA_018819065.1,newDdlB,-,1.7e-54,197.7,0.8,2.3e-54,197.3,0.8,1.0,1,0,0,1,1,1,1
MBS3109951.1@GCA_018303405.1,GCA_018303405.1,newDdlB,-,2.5e-54,197.2,0.0,3.3e-54,196.8,0.0,1.1,1,0,0,1,1,1,1
MBI2047236.1@GCA_016181905.1,GCA_016181905.1,newDdlB,-,2.9e-54,197.0,0.2,3.6e-54,196.7,0.2,1.0,1,0,0,1,1,1,1
MBK5190082.1@GCA_016649585.1,GCA_016649585.1,newDdlB,-,2.9999999999999995e-54,196.9,0.1,5.299999999999999e-54,196.1,0.1,1.3,1,0,0,1,1,1,1
MBS7606370.1@GCA_018396655.1,GCA_018396655.1,newDdlB,-,4.9999999999999996e-54,196.2,0.0,6.1e-54,195.9,0.0,1.0,1,0,0,1,1,1,1
MBS7639116.1@GCA_018396975.1,GCA_018396975.1,newDdlB,-,6.9e-54,195.7,0.0,8.7e-54,195.4,0.0,1.0,1,0,0,1,1,1,1
MBW2989394.1@GCA_019322475.1,GCA_019322475.1,newDdlB,-,8.9e-54,195.4,0.0,1.0999999999999999e-53,195.0,0.0,1.0,1,0,0,1,1,1,1
OGI15717.1@GCA_001784635.1,GCA_001784635.1,newDdlB,-,1e-53,195.2,0.0,1.1999999999999998e-53,195.0,0.0,1.0,1,0,0,1,1,1,1
MBW3582655.1@GCA_019347805.1,GCA_019347805.1,newDdlB,-,1.4e-53,194.7,0.0,2.1e-53,194.1,0.0,1.1,1,0,0,1,1,1,1
HIH77523.1@GCA_013329575.1,GCA_013329575.1,newDdlB,-,1.6999999999999998e-53,194.4,0.0,2.1999999999999997e-53,194.1,0.0,1.0,1,0,0,1,1,1,1
UCE38275.1@GCA_020348445.1,GCA_020348445.1,newDdlB,-,2.8e-53,193.7,0.1,4.799999999999999e-53,193.0,0.1,1.3,1,0,0,1,1,1,1
MBM3292500.1@GCA_016867505.1,GCA_016867505.1,newDdlB,-,3.0999999999999997e-53,193.6,0.0,4.2e-53,193.1,0.0,1.0,1,0,0,1,1,1,1
NWG09761.1@GCA_013388925.1,GCA_013388925.1,newDdlB,-,3.5e-53,193.4,0.0,4.599999999999999e-53,193.0,0.0,1.0,1,0,0,1,1,1,1
MBD3351636.1@GCA_014729055.1,GCA_014729055.1,newDdlB,-,4e-53,193.2,0.0,5.4e-53,192.8,0.0,1.1,1,0,0,1,1,1,1
MBS7652660.1@GCA_018396865.1,GCA_018396865.1,newDdlB,-,4.3e-53,193.1,0.0,6.3e-53,192.6,0.0,1.2,1,0,0,1,1,1,1
JAEOSF010000009.1_54@GCA_016840515.1,GCA_016840515.1,newDdlB,-,4.399999999999999e-53,193.1,0.0,5.8e-53,192.7,0.0,1.0,1,0,0,1,1,1,1
MBA4462582.1@GCA_013867335.1,GCA_013867335.1,newDdlB,-,4.399999999999999e-53,193.1,0.3,7.299999999999999e-53,192.4,0.3,1.2,1,0,0,1,1,1,1
JAHELB010000008.1_44@GCA_024644385.1,GCA_024644385.1,newDdlB,-,5.0999999999999995e-53,192.9,0.1,1.3e-52,191.6,0.1,1.6,2,0,0,2,2,1,1
WP_147663291.1@GCF_008000775.1,GCF_008000775.1,newDdlB,-,6.799999999999999e-53,192.5,0.0,8.799999999999999e-53,192.1,0.0,1.1,1,0,0,1,1,1,1
RZN41084.1@GCA_004211975.1,GCA_004211975.1,newDdlB,-,7.099999999999999e-53,192.4,0.0,1.2e-52,191.7,0.0,1.2,1,0,0,1,1,1,1
MBM3308732.1@GCA_016867655.1,GCA_016867655.1,newDdlB,-,1.3e-52,191.5,0.0,1.7e-52,191.2,0.0,1.0,1,0,0,1,1,1,1
MBI2129881.1@GCA_016180285.1,GCA_016180285.1,newDdlB,-,1.4e-52,191.4,0.0,2e-52,190.9,0.0,1.1,1,0,0,1,1,1,1
JAHQJS010000004.1_1048@GCA_019057385.1,GCA_019057385.1,newDdlB,-,1.5e-52,191.3,0.0,2e-52,190.9,0.0,1.0,1,0,0,1,1,1,1
UCG68737.1@GCA_020351895.1,GCA_020351895.1,newDdlB,-,1.7e-52,191.2,0.1,3.1e-52,190.3,0.1,1.4,1,0,0,1,1,1,1
MBN2052460.1@GCA_016932315.1,GCA_016932315.1,newDdlB,-,1.8e-52,191.1,0.0,7.2e-52,189.1,0.0,1.8,2,0,0,2,2,1,1
PWNH01000115.1_3@GCA_003557905.1,GCA_003557905.1,newDdlB,-,1.9e-52,191.0,0.0,4.8e-52,189.7,0.0,1.6,2,0,0,2,2,1,1
MBC2699493.1@GCA_014237145.1,GCA_014237145.1,newDdlB,-,2.1e-52,190.8,0.0,3.7e-52,190.0,0.0,1.3,1,0,0,1,1,1,1
MBS7654729.1@GCA_018396435.1,GCA_018396435.1,newDdlB,-,2.5e-52,190.6,0.0,3.1e-52,190.3,0.0,1.0,1,0,0,1,1,1,1
DASH01000055.1_19@GCA_002503705.1,GCA_002503705.1,newDdlB,-,2.9e-52,190.4,0.0,2.2e-40,151.3,0.0,2.7,2,1,0,2,2,2,2
NHJ13088.1@GCA_011365025.1,GCA_011365025.1,newDdlB,-,3.4e-52,190.1,0.0,4.6e-52,189.7,0.0,1.0,1,0,0,1,1,1,1
NIP10042.1@GCA_011773785.1,GCA_011773785.1,newDdlB,-,3.5e-52,190.1,0.2,5.8e-52,189.4,0.2,1.2,1,0,0,1,1,1,1
MBI2107107.1@GCA_016181245.1,GCA_016181245.1,newDdlB,-,3.5e-52,190.1,0.1,8.3e-29,113.3,0.1,2.0,2,0,0,2,2,2,2
JAGVGF010000002.1_182@GCA_020057295.1,GCA_020057295.1,newDdlB,-,3.7e-52,190.0,0.0,5.4e-52,189.5,0.0,1.1,1,0,0,1,1,1,1
MBN2154852.1@GCA_016933055.1,GCA_016933055.1,newDdlB,-,4.1e-52,189.9,0.0,5.9e-52,189.4,0.0,1.1,1,0,0,1,1,1,1
