ProteinAccessions	ProteinDescriptions	MolecularWeight	NrOfModifiedSequencesIdentifiedExperimentwide	is_SEC_Candidate	NrOfModifiedSequencesIdentified_SEC_fraction_47	NrOfModifiedSequencesIdentified_SEC_fraction_53	NrOfModifiedSequencesIdentified_SEC_fraction_54	NrOfModifiedSequencesIdentified_SEC_fraction_55	NrOfModifiedSequencesIdentified_SEC_fraction_56	NrOfModifiedSequencesIdentified_SEC_fraction_57	NrOfModifiedSequencesIdentified_SEC_fraction_58	NrOfModifiedSequencesIdentified_SEC_fraction_59	NrOfModifiedSequencesIdentified_SEC_fraction_60	NrOfModifiedSequencesIdentified_SEC_fraction_61	NrOfModifiedSequencesIdentified_SEC_fraction_62	NrOfModifiedSequencesIdentified_SEC_fraction_63	NrOfModifiedSequencesIdentified_SEC_fraction_64	NrOfModifiedSequencesIdentified_SEC_fraction_65	IBAQ_SEC_fraction_47	IBAQ_SEC_fraction_53	IBAQ_SEC_fraction_54	IBAQ_SEC_fraction_55	IBAQ_SEC_fraction_56	IBAQ_SEC_fraction_57	IBAQ_SEC_fraction_58	IBAQ_SEC_fraction_59	IBAQ_SEC_fraction_60	IBAQ_SEC_fraction_61	IBAQ_SEC_fraction_62	IBAQ_SEC_fraction_63	IBAQ_SEC_fraction_64	IBAQ_SEC_fraction_65	IBAQ_norm_SEC_fraction_47	IBAQ_norm_SEC_fraction_53	IBAQ_norm_SEC_fraction_54	IBAQ_norm_SEC_fraction_55	IBAQ_norm_SEC_fraction_56	IBAQ_norm_SEC_fraction_57	IBAQ_norm_SEC_fraction_58	IBAQ_norm_SEC_fraction_59	IBAQ_norm_SEC_fraction_60	IBAQ_norm_SEC_fraction_61	IBAQ_norm_SEC_fraction_62	IBAQ_norm_SEC_fraction_63	IBAQ_norm_SEC_fraction_64	IBAQ_norm_SEC_fraction_65	distribution	signal_peptide
D4GVT8	peptidylprolyl isomerase	18703.44	31	TRUE	13	24	26	28	31	31	31	31	29	26	22	21	17	13	1636.3	112353.1	706484.5	2394276	4744326.6	5467697	6424211.7	4244349	1879716.2	1024493.9	280796.6	89547.9	24812.4	12339.6	0.000254708	0.01748901	0.10997217	0.372695688	0.738507201	0.851107849	1	0.660680127	0.292598732	0.15947387	0.043709114	0.013939127	0.003862326	0.001920796		
D4GWM1	Small ribosomal subunit protein eS8	13646.16	12	TRUE	10	10	11	12	12	12	12	12	12	11	9	9	7	6	27661.2	235282.8	648552	2130088.2	4094156.7	3927807.6	3177134.6	2586797.8	1118372	780369.1	254709.3	100316.7	36223.1	18134.2	0.006756263	0.057467952	0.158409179	0.520275201	1	0.959369142	0.776016853	0.631826769	0.273162969	0.190605577	0.062212885	0.024502409	0.008847512	0.004429288		
D4GST5	Small ribosomal subunit protein eS6	13896.11	17	TRUE	12	16	16	16	17	16	16	16	14	10	8	7	8	3	90978	922299.7	1273793.6	2630045.9	3124819.5	2674290.1	2497911.5	1286865.5	492546.9	294877.3	82893.1	36639.9	15599.7	8964.4	0.029114642	0.295152952	0.407637497	0.841663302	1	0.855822264	0.799377852	0.411820747	0.157624112	0.094366187	0.026527324	0.011725445	0.004992192	0.002868774		
D4GXH6	PadR family transcription regulator	11363.69	13	TRUE	3	10	11	12	12	12	12	12	11	12	12	11	11	11	770.7	49603.1	210139.5	856314.2	2067308.9	2732932	3819447.9	3418918.5	2114901.1	1894323.1	1056741.4	919852.5	625763.9	631352.3	0.000201783	0.012986982	0.055018292	0.224198424	0.541258568	0.71553064	1	0.895134216	0.55371906	0.495967781	0.276673862	0.240833891	0.163836218	0.165299362		
D4GWZ3	Small ribosomal subunit protein uS4	20077.24	21	TRUE	18	21	21	21	21	21	21	21	20	17	15	11	8	5	14348.2	288060.6	714042.3	1429589.2	1825796.1	1143271.1	746348.7	430776.3	158866.3	90230.3	31478.1	11529.6	4520.6	3431	0.007858599	0.157772601	0.391085456	0.782994991	1	0.626176767	0.408779874	0.235938887	0.087012071	0.049419702	0.017240753	0.006314834	0.002475961	0.00187918		
D4GUF8	Cytochrome bc1 complex Rieske iron-sulfur protein	30243.84	10	TRUE	7	10	10	10	10	10	9	9	7	6	5	4	3	2	13790.4	422884.3	909938.1	1351779.7	1633208	1071206	767731.9	446684.1	172419.4	94239.2	30810.8	11924.9	4441.4	2472.9	0.00844375	0.258928624	0.557147712	0.827683737	1	0.655890738	0.47007601	0.273501048	0.105570999	0.057701897	0.018865203	0.007301519	0.002719433	0.001514137		Tat/SPI
P41200	Large ribosomal subunit protein uL11	16802.38	14	TRUE	5	14	14	14	14	14	14	13	11	8	5	3	2	1	8016.7	546103.6	1168925	1666745.4	1560386.3	865604.9	471425.2	220567.3	69532	35309.8	11890.1	6445.8	2268.2	1576.1	0.004809793	0.327646682	0.70132187	1	0.936187554	0.519338406	0.282841759	0.132334129	0.041717229	0.021184879	0.007133723	0.003867297	0.001360856	0.000945615		
D4GZY1	Small ribosomal subunit protein uS7	22615.27	25	TRUE	17	25	25	25	25	25	22	24	18	17	13	7	4	4	9356.1	560256.2	723669.9	1356549.3	1472444.6	590989.2	256878	196811.1	67275.6	38678.7	12492.3	4020.5	1497.1	867.1	0.006354127	0.380493908	0.491475129	0.921290553	1	0.401366	0.174456818	0.133662822	0.045689733	0.026268357	0.008484054	0.002730493	0.001016745	0.000588885		
D4GTY5	Large ribosomal subunit protein uL24	13384.73	13	TRUE	6	9	11	12	13	12	12	11	9	8	5	5	4	4	1335	120046.1	291409.4	854565.3	1206027.7	932540.5	632086.2	358337.7	129010.8	84365.3	24925.6	10258.7	3577.4	2333.8	0.00110694	0.099538427	0.241627452	0.708578501	1	0.773233069	0.524105873	0.29712228	0.106971672	0.069953037	0.020667519	0.008506189	0.002966267	0.001935113		
D4GYY9	UPF0212 protein HVO_1560	12867.43	10	TRUE	9	10	10	10	10	10	9	9	9	9	9	7	7	4	191064.1	699922.8	922424.4	1070960.1	917570.1	448605	260980.4	204443.4	141268.6	147162.9	90458.9	51253.9	20673.5	11197.3	0.178404499	0.653547037	0.861306037	1	0.856773376	0.418881152	0.243688257	0.190897308	0.131908369	0.137412122	0.084465238	0.047857899	0.019303707	0.010455385		
D4GTJ3	PRC domain protein	9018.24	16	TRUE	7	15	16	16	16	15	15	13	13	11	10	8	9	9	41552.9	491253.5	591664.4	841200	889610.6	564266.9	430002	397863.4	241314.8	341519.2	294389.9	316146	245718.5	211937.1	0.046709088	0.552211833	0.665082453	0.945582258	1	0.63428527	0.483359798	0.447233205	0.271258908	0.383897404	0.330919955	0.355375712	0.276209051	0.238235808		
D4GTX5	Large ribosomal subunit protein uL30	17106.9	20	TRUE	6	16	17	20	20	20	20	20	19	17	15	12	10	6	256.6	16661.1	64261.5	279868.4	696544.6	864554.9	958537.5	747001.7	362313.6	254813	78081	30242.2	8048.6	3783.6	0.000267699	0.017381793	0.067041196	0.291974388	0.726674335	0.901952088	1	0.779314007	0.377985838	0.265835192	0.081458472	0.031550357	0.00839675	0.003947263		
D4H026	DUF5611 domain protein	13919.5	14	TRUE	4	14	14	14	14	14	13	14	12	8	4	4	1	0	1527.5	111764.7	236619.6	542672.2	637148.4	432996.8	224328.4	113234.4	44389.2	26495.2	6769.1	2995.8	692.6	0	0.002397401	0.175413922	0.371372823	0.851720259	1	0.679585478	0.35208187	0.177720606	0.069668542	0.041584033	0.010624056	0.004701887	0.001087031	0		
D4GWY5	KaiC-type circadian clock protein CirA	27562.91	15	TRUE	5	13	14	15	15	14	13	12	13	11	8	7	7	3	1345.3	170387.6	379049.2	616772.1	634874.1	332830.8	193838.9	140304.3	63457.1	43483.1	20480	10573.8	5575	2953.6	0.002119003	0.26838014	0.597046249	0.97148726	1	0.524246933	0.305318645	0.22099547	0.099952258	0.068490902	0.032258364	0.016654956	0.008781269	0.004652261		
D4GVJ1	cytochrome-c oxidase	27728.08	4	TRUE	2	3	3	3	4	4	4	4	4	4	4	3	2	2	3780.3	143433.1	251259.2	488757	556009.4	467362.9	381153.3	284254.4	165679.1	166576.2	87789.4	56548.2	27247.2	16328.6	0.006798986	0.25796884	0.451897396	0.879044491	1	0.840566544	0.685515928	0.511240278	0.297978955	0.299592417	0.157891935	0.101703676	0.049004927	0.029367489		Sec/SPI
D4GV79	Pilin PilA	17671.41	4	TRUE	2	3	2	3	4	3	3	3	2	3	2	2	2	1	9584	105242.3	165173.2	291582.3	547152.7	475975.4	311323.9	242417.4	117075.8	76925.1	25657.1	10942.4	6986.8	5153.4	0.017516134	0.192345391	0.301877703	0.532908455	1	0.86991328	0.568989059	0.443052552	0.213972809	0.140591648	0.046892028	0.019998805	0.012769379	0.009418577		Sec/SPI
D4GXY0	AbrB/MazE/SpoVT family DNA-binding domain-containing protein	7355.24	7	TRUE	2	2	7	7	7	7	7	7	7	7	5	2	2	2	3048.1	9654.4	39723.1	190729.3	475689.5	709865.9	892312.7	741718.3	395147.5	288189.5	83045.5	29740.2	11871	5673	0.003415955	0.010819525	0.044517017	0.213747154	0.53309731	0.795534906	1	0.831231361	0.44283523	0.322969179	0.09306771	0.033329347	0.013303632	0.006357637		
D4GW85	HTH domain protein	11710.28	24	TRUE	8	23	23	24	23	23	20	19	14	9	9	9	5	3	4894.5	378919.2	473051.8	544830.8	463540.3	212914.5	114471.1	48548.7	43457.9	19141	14250.3	9606.3	3559.8	1611.3	0.008983523	0.695480505	0.868254511	1	0.850796798	0.390790132	0.210103944	0.089107848	0.079764029	0.035132008	0.02615546	0.017631712	0.006533772	0.002957432		
P15093	Dihydrofolate reductase HdrA	17979.88	20	TRUE	1	18	18	20	20	20	20	19	17	14	11	6	2	0	64.5	38128.5	123029.1	293726.7	420645.3	292266.5	231245.3	118416.2	44156.4	23495.5	6122.1	1432.4	215.3	0	0.000153336	0.090642877	0.292477058	0.698276434	1	0.694805101	0.549739412	0.281510812	0.104973002	0.055855848	0.014554067	0.003405244	0.000511833	0		
D4GYL2	ATPase involved in flagella biogenesis	21881.13	22	TRUE	7	22	22	22	22	22	22	22	19	16	12	8	6	3	2868.1	291772.4	401951.7	466695.1	405812.3	238495	185034.8	116900.2	54633.1	36684.8	12990.5	4974.2	1718.8	638.7	0.006145554	0.62518848	0.861272595	1	0.869544806	0.511029578	0.396478986	0.250485167	0.117063796	0.078605496	0.02783509	0.010658351	0.003682918	0.001368559		
